Disease,Diet
Conjunctivitis,"['Conjunctivitis Diet', 'Vitamin A-rich foods', 'Omega-3-rich foods', 'Antioxidant-rich foods', 'Hydration']"
Cholecystitis,"['Cholecystitis Diet', 'Low-fat foods', 'High-Fiber Diet', 'Fruits and vegetables', 'Lean proteins']"
Asthma,"['Asthma Diet', 'Anti-Inflammatory Diet', 'Vitamin D-rich foods', 'Omega-3-rich foods', 'Magnesium-rich foods']"
Gout,"['Gout Diet', 'Low-Purine Diet', 'Hydration', 'Cherries', 'Vitamin C-rich foods']"
Lupus,"['Lupus Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Vitamin D-rich foods', 'Calcium-rich foods']"
Eczema,"['Eczema Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Vitamin D-rich foods', 'Probiotics']"
Migraine,"['Migraine Diet', 'Low-Tyramine Diet', 'Hydration', 'Magnesium-rich foods', 'Vitamin B2-rich foods']"
Chicken Pox,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']"
Dengue Fever,"['Dengue Fever Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']"
Hepatitis,"['Hepatitis Diet', 'Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains']"
Chronic Fatigue Syndrome,"['Chronic Fatigue Syndrome Diet', 'Hydration', 'Magnesium-rich foods', 'Vitamin B12-rich foods', 'Protein-rich foods']"
Chronic Obstructive Pulmonary Disease (COPD),"['COPD Diet', 'Anti-Inflammatory Diet', 'Hydration', 'Magnesium-rich foods', 'Vitamin D-rich foods']"
Tuberculosis,"['TB Diet', 'High-Calorie Diet', 'Protein-rich foods', 'Vitamin A-rich foods', 'Hydration']"
Appendicitis,"['Appendicitis Diet', 'Low-fiber Diet', 'Hydration', 'Soft foods', 'Bland foods']"
Diverticulitis,"['Diverticulitis Diet', 'Low-fiber Diet', 'Soft foods', 'Hydration', 'High-protein foods']"
Acute Pancreatitis,"['Pancreatitis Diet', 'Low-fat Diet', 'Clear fluids', 'Hydration', 'High-protein foods']"
Chronic Kidney Disease,"['CKD Diet', 'Low-sodium foods', 'Low-potassium foods', 'Low-phosphorus foods', 'Hydration']"
Celiac Disease,"['Gluten-Free Diet', 'High-fiber gluten-free foods', 'Hydration', 'Vitamin D-rich foods', 'Iron-rich foods']"
Irritable Bowel Syndrome,"['IBS Diet', 'Low-FODMAP Diet', 'Hydration', 'Probiotics', 'Fiber-rich foods']"
Lyme Disease,"['Lyme Disease Diet', 'Anti-Inflammatory Diet', 'Hydration', 'Probiotics', 'Magnesium-rich foods']"
Parkinson's Disease,"['Parkinson's Diet', 'High-fiber foods', 'Omega-3-rich foods', 'Hydration', 'Antioxidant-rich foods']"
Bipolar Disorder,"['Bipolar Disorder Diet', 'Omega-3-rich foods', 'Vitamin D-rich foods', 'Magnesium-rich foods', 'Protein-rich foods']"
Epilepsy,"['Epilepsy Diet', 'Ketogenic Diet', 'Hydration', 'Magnesium-rich foods', 'Vitamin B6-rich foods']"
Multiple Sclerosis,"['MS Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Vitamin D-rich foods', 'Magnesium-rich foods']"
Alzheimer's Disease,"['Alzheimer's Diet', 'Mediterranean Diet', 'Omega-3-rich foods', 'Vitamin E-rich foods', 'Antioxidant-rich foods']"
Cataract,"['Cataract Diet', 'Vitamin A-rich foods', 'Antioxidant-rich foods', 'Hydration', 'Omega-3-rich foods']"
Glaucoma,"['Glaucoma Diet', 'Antioxidant-rich foods', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Vitamin E-rich foods']"
Psoriatic Arthritis,"['Psoriatic Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Vitamin D-rich foods', 'Magnesium-rich foods']"
Rheumatoid Arthritis,"['Rheumatoid Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Vitamin D-rich foods', 'Magnesium-rich foods']"
Herpes Simplex,"['Herpes Diet', 'Lysine-rich foods', 'Vitamin C-rich foods', 'Zinc-rich foods', 'Hydration']"
Mumps,"['Mumps Diet', 'Soft foods', 'Warm fluids', 'Hydration', 'Vitamin C-rich foods']"
Scarlet Fever,"['Scarlet Fever Diet', 'Soft foods', 'Warm fluids', 'Hydration', 'Vitamin C-rich foods']"
Leukemia,"['Leukemia Diet', 'High-protein foods', 'Vitamin D-rich foods', 'Hydration', 'Anti-Inflammatory Diet']"
Melanoma,"['Melanoma Diet', 'Antioxidant-rich foods', 'Omega-3-rich foods', 'Vitamin D-rich foods', 'Hydration']"
Acromegaly,"['Acromegaly Diet', 'Low-sugar foods', 'Protein-rich foods', 'Hydration', 'Calcium-rich foods']"
Addison's Disease,"['Addison's Disease Diet', 'Hydration', 'High-sodium foods', 'Vitamin C-rich foods', 'Protein-rich foods']"
Allergic Rhinitis,"['Allergic Rhinitis Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Cluster Headache,"['Cluster Headache Diet', 'Magnesium-rich foods', 'Hydration', 'Vitamin D-rich foods', 'Omega-3-rich foods']"
Dystonia,"['Dystonia Diet', 'Magnesium-rich foods', 'Hydration', 'Vitamin B6-rich foods', 'Protein-rich foods']"
Emphysema,"['Emphysema Diet', 'Hydration', 'Omega-3-rich foods', 'Magnesium-rich foods', 'High-calorie foods']"
Gallstones,"['Gallstones Diet', 'Low-fat foods', 'High-Fiber Diet', 'Fruits and vegetables', 'Hydration']"
Guillain-Barre Syndrome,"['Guillain-Barre Syndrome Diet', 'High-protein foods', 'Hydration', 'Omega-3-rich foods', 'Vitamin B12-rich foods']"
Hodgkin's Lymphoma,"['Hodgkin's Lymphoma Diet', 'High-calorie foods', 'Hydration', 'Anti-Inflammatory Diet', 'Protein-rich foods']"
Pancreatic Cancer,"['Pancreatic Cancer Diet', 'High-calorie foods', 'Hydration', 'Protein-rich foods', 'Vitamin B12-rich foods']"
Polycystic Ovary Syndrome (PCOS),"['PCOS Diet', 'Low-sugar foods', 'Omega-3-rich foods', 'Magnesium-rich foods', 'Vitamin D-rich foods']"
Sciatica,"['Sciatica Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Magnesium-rich foods', 'Hydration']"
Raynaud's Disease,"['Raynaud's Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Hydration', 'Magnesium-rich foods']"
Cushing's Syndrome,"['Cushing's Syndrome Diet', 'Low-sodium foods', 'Vitamin D-rich foods', 'Omega-3-rich foods', 'Protein-rich foods']"
Fibromyalgia,"['Fibromyalgia Diet', 'Anti-Inflammatory Diet', 'Magnesium-rich foods', 'Omega-3-rich foods', 'Vitamin D-rich foods']"
Sleep Apnea,"['Sleep Apnea Diet', 'High-fiber foods', 'Vitamin D-rich foods', 'Magnesium-rich foods', 'Omega-3-rich foods']"
Hyperparathyroidism,"['Hyperparathyroidism Diet', 'Low-phosphorus foods', 'Vitamin D-rich foods', 'Hydration', 'Calcium-rich foods']"
Thalassemia,"['Thalassemia Diet', 'Iron-rich foods', 'Vitamin C-rich foods', 'High-protein foods', 'Hydration']"
Chronic Sinusitis,"['Chronic Sinusitis Diet', 'Warm fluids', 'Hydration', 'Vitamin C-rich foods', 'Spicy foods']"
Nephrotic Syndrome,"['Nephrotic Syndrome Diet', 'Low-sodium foods', 'High-protein foods', 'Potassium-rich foods', 'Hydration']"
Polycystic Ovary Syndrome (PCOS),"['PCOS Diet', 'Low-Glycemic foods', 'High-fiber foods', 'Lean proteins', 'Healthy fats']"
Ankylosing Spondylitis,"['Ankylosing Spondylitis Diet', 'Anti-inflammatory foods', 'Omega-3-rich foods', 'Calcium-rich foods', 'Vitamin D']"
Multiple Sclerosis,"['MS Diet', 'Anti-inflammatory foods', 'Omega-3 fatty acids', 'Vitamin D-rich foods', 'Antioxidant-rich foods']"
Sjögren's Syndrome,"['Sjögren's Syndrome Diet', 'Hydration', 'Omega-3 fatty acids', 'Vitamin D-rich foods', 'Anti-inflammatory foods']"
Temporal Arteritis,"['Temporal Arteritis Diet', 'Anti-inflammatory foods', 'Omega-3-rich foods', 'Vitamin D', 'High-fiber foods']"
Wegener's Granulomatosis,"['Wegener's Granulomatosis Diet', 'Hydration', 'Nutrient-rich foods', 'Lean proteins', 'Omega-3 fatty acids']"
Trigeminal Neuralgia,"['Trigeminal Neuralgia Diet', 'Anti-inflammatory foods', 'Hydration', 'Magnesium-rich foods', 'Vitamin B12']"
Mitral Valve Prolapse,"['Mitral Valve Prolapse Diet', 'Heart-Healthy Diet', 'Low-sodium foods', 'Magnesium-rich foods', 'Omega-3 fatty acids']"
Pulmonary Hypertension,"['Pulmonary Hypertension Diet', 'Low-sodium foods', 'Omega-3 fatty acids', 'Potassium-rich foods', 'Hydration']"
Carpal Tunnel Syndrome,"['Carpal Tunnel Syndrome Diet', 'Anti-inflammatory foods', 'Vitamin B6-rich foods', 'Omega-3 fatty acids', 'Hydration']"
Addison's Disease,"['Addison's Disease Diet', 'High-sodium foods', 'Hydration', 'Vitamin B5-rich foods', 'Antioxidant-rich foods']"
Chronic Fatigue Syndrome,"['Chronic Fatigue Syndrome Diet', 'Energy-boosting foods', 'Complex carbohydrates', 'Lean proteins', 'Vitamin B12']"
Bell's Palsy,"['Bell's Palsy Diet', 'Anti-inflammatory foods', 'Omega-3 fatty acids', 'Hydration', 'Vitamin B12']"
Guillain-Barré Syndrome,"['Guillain-Barré Syndrome Diet', 'High-calorie foods', 'Lean proteins', 'Hydration', 'Vitamin C-rich foods']"
Wilson's Disease,"['Wilson's Disease Diet', 'Low-copper foods', 'High-protein foods', 'Zinc supplements', 'Hydration']"
Myasthenia Gravis,"['Myasthenia Gravis Diet', 'High-calorie foods', 'Lean proteins', 'Vitamin D-rich foods', 'Hydration']"
Thyroid Eye Disease,"['Thyroid Eye Disease Diet', 'Anti-inflammatory foods', 'Omega-3 fatty acids', 'Vitamin C-rich foods', 'Hydration']"
Restless Legs Syndrome,"['Restless Legs Syndrome Diet', 'Iron-rich foods', 'Magnesium-rich foods', 'Vitamin B12', 'Hydration']"
Cluster Headache,"['Cluster Headache Diet', 'Hydration', 'Magnesium-rich foods', 'Omega-3 fatty acids', 'Low-alcohol intake']"
Peripheral Neuropathy,"['Peripheral Neuropathy Diet', 'Anti-inflammatory foods', 'Omega-3 fatty acids', 'Vitamin B12', 'Magnesium-rich foods']"
Kawasaki Disease,"['Kawasaki Disease Diet', 'Hydration', 'High-calorie foods', 'Lean proteins', 'Vitamin C-rich foods']"
Whipple's Disease,"['Whipple's Disease Diet', 'Nutrient-dense foods', 'Lean proteins', 'Hydration', 'Vitamin B12']"
Sickle Cell Anemia,"['Sickle Cell Anemia Diet', 'High-calorie foods', 'Iron-rich foods', 'Hydration', 'Vitamin B6-rich foods']"
Acromegaly,"['Acromegaly Diet', 'Low-sodium foods', 'High-fiber foods', 'Calcium-rich foods', 'Vitamin D']"
Hemochromatosis,"['Hemochromatosis Diet', 'Low-iron foods', 'High-calcium foods', 'Antioxidant-rich foods', 'Hydration']"
Marfan Syndrome,"['Marfan Syndrome Diet', 'Heart-Healthy Diet', 'Calcium-rich foods', 'Magnesium-rich foods', 'Vitamin D']"
