Disease,Medication
Alzheimer's Disease,"['Cholinesterase inhibitors', 'NMDA receptor antagonists', 'Antidepressants', 'Antipsychotic medications', 'Anxiolytics']"
Cataract,"['Surgery (cataract removal)', 'Antibiotic eye drops (pre/post-surgery)', 'Anti-inflammatory eye drops', 'Lubricating eye drops', 'Vision correction (glasses or contact lenses)']"
Glaucoma,"['Beta-blocker eye drops', 'Prostaglandin analogs', 'Alpha agonist eye drops', 'Carbonic anhydrase inhibitors', 'Laser therapy']"
Psoriatic Arthritis,"['NSAIDs', 'DMARDs', 'Biologics', 'Corticosteroids', 'Physical therapy']"
Rheumatoid Arthritis,"['DMARDs', 'Biologics', 'NSAIDs', 'Corticosteroids', 'Physical therapy']"
Herpes Simplex,"['Antiviral drugs', 'Topical antiviral ointments', 'Pain relievers', 'Topical anesthetics', 'Immunomodulators']"
Mumps,"['Pain relievers', 'Antipyretics', 'Warm compresses', 'Vaccination', 'IV fluids']"
Scarlet Fever,"['Antibiotics', 'Pain relievers', 'Antipyretics', 'IV fluids', 'Antihistamines']"
Leukemia,"['Chemotherapy', 'Radiation therapy', 'Bone marrow transplant', 'Immunotherapy', 'Targeted therapy']"
Melanoma,"['Surgery', 'Immunotherapy', 'Targeted therapy', 'Chemotherapy', 'Radiation therapy']"
Acromegaly,"['Growth hormone receptor antagonists', 'Somatostatin analogs', 'Surgery (to remove tumor)', 'Radiation therapy', 'Dopamine agonists']"
Addison's Disease,"['Corticosteroids', 'Hormone replacement therapy', 'IV fluids', 'Salt tablets', 'Blood pressure medications']"
Allergic Rhinitis,"['Antihistamines', 'Decongestants', 'Nasal corticosteroids', 'Leukotriene inhibitors', 'Immunotherapy']"
Cluster Headache,"['Triptans', 'Oxygen therapy', 'Local anesthetics', 'Corticosteroids', 'Calcium channel blockers']"
Dystonia,"['Botulinum toxin injections', 'Anticholinergic drugs', 'Muscle relaxants', 'Physical therapy', 'Deep brain stimulation']"
Emphysema,"['Bronchodilators', 'Inhaled corticosteroids', 'Oxygen therapy', 'Mucolytics', 'Pulmonary rehabilitation']"
Gallstones,"['Pain relievers', 'Cholesterol-lowering medications', 'Bile acid medications', 'Surgery (cholecystectomy)', 'Lithotripsy']"
Guillain-Barre Syndrome,"['IV immunoglobulin (IVIG)', 'Plasmapheresis', 'Pain relievers', 'Physical therapy', 'Mechanical ventilation (if needed)']"
Hodgkin's Lymphoma,"['Chemotherapy', 'Radiation therapy', 'Stem cell transplant', 'Immunotherapy', 'Targeted therapy']"
Pancreatic Cancer,"['Chemotherapy', 'Radiation therapy', 'Targeted therapy', 'Pain relievers', 'Palliative care']"
Polycystic Ovary Syndrome (PCOS),"['Hormonal birth control', 'Anti-androgen medications', 'Metformin', 'Ovulation induction medications', 'Lifestyle modifications']"
Sciatica,"['NSAIDs', 'Muscle relaxants', 'Physical therapy', 'Steroid injections', 'Surgery (if necessary)']"
Raynaud's Disease,"['Calcium channel blockers', 'Vasodilators', 'Antiplatelet agents', 'Nitroglycerin ointment', 'Surgery (in severe cases)']"
Cushing's Syndrome,"['Cortisol-lowering medications', 'Radiation therapy', 'Surgery (adrenalectomy)', 'Medications for symptoms', 'Physical therapy']"
Fibromyalgia,"['Pain relievers', 'Antidepressants', 'Anticonvulsants', 'Physical therapy', 'Sleep aids']"
Sleep Apnea,"['CPAP therapy', 'Oral appliances', 'Surgery', 'Weight loss', 'Lifestyle changes']"
Hyperparathyroidism,"['Bisphosphonates', 'Calcimimetics', 'Hormone replacement therapy', 'Surgery (parathyroidectomy)', 'Vitamin D supplements']"
Thalassemia,"['Blood transfusions', 'Chelation therapy', 'Folic acid supplements', 'Bone marrow transplant', 'Gene therapy']"
Chronic Sinusitis,"['Nasal corticosteroids', 'Saline nasal sprays', 'Antibiotics (if bacterial)', 'Decongestants', 'Antihistamines']"
Nephrotic Syndrome,"['Diuretics', 'ACE inhibitors', 'Corticosteroids', 'Immunosuppressants', 'Antibiotics (if infection)']"
Polycystic Ovary Syndrome (PCOS),"['Oral contraceptives', 'Metformin', 'Anti-androgens', 'Clomiphene', 'Hormonal therapy']"
Ankylosing Spondylitis,"['NSAIDs', 'TNF inhibitors', 'Corticosteroids', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Physical therapy']"
Multiple Sclerosis,"['Corticosteroids', 'Disease-modifying therapies (DMTs)', 'Plasma exchange', 'Physical therapy', 'Muscle relaxants']"
Sjögren's Syndrome,"['Artificial tears', 'Immunosuppressants', 'Corticosteroids', 'NSAIDs', 'Pilocarpine (for dry mouth)']"
Temporal Arteritis,"['Corticosteroids', 'Aspirin', 'Calcium and vitamin D supplements', 'Immunosuppressants', 'Biologics']"
Wegener's Granulomatosis,"['Corticosteroids', 'Immunosuppressants', 'Biologics', 'Antibiotics (for infections)', 'Plasma exchange']"
Trigeminal Neuralgia,"['Anticonvulsants', 'Muscle relaxants', 'Tricyclic antidepressants', 'Opioids', 'Surgery (for severe cases)']"
Mitral Valve Prolapse,"['Beta-blockers', 'Calcium channel blockers', 'Anticoagulants', 'Diuretics', 'Valve repair surgery (if needed)']"
Pulmonary Hypertension,"['Calcium channel blockers', 'Endothelin receptor antagonists', 'Phosphodiesterase-5 inhibitors', 'Diuretics', 'Oxygen therapy']"
Carpal Tunnel Syndrome,"['NSAIDs', 'Corticosteroid injections', 'Splinting', 'Physical therapy', 'Surgery (if severe)']"
Addison's Disease,"['Corticosteroid replacement therapy', 'Fludrocortisone', 'Hydrocortisone', 'Dehydroepiandrosterone (DHEA)', 'IV fluids (in crisis)']"
Chronic Fatigue Syndrome,"['Pain relievers', 'Antidepressants', 'Cognitive behavioral therapy (CBT)', 'Graded exercise therapy', 'Sleep aids']"
Bell's Palsy,"['Corticosteroids', 'Antiviral drugs (if viral cause)', 'Physical therapy', 'Pain relievers', 'Eye drops (if eyelid doesn't close)']"
Guillain-Barré Syndrome,"['IV immunoglobulin (IVIG)', 'Plasma exchange', 'Pain relievers', 'Physical therapy', 'Respiratory support (if needed)']"
Wilson's Disease,"['Copper chelators', 'Zinc supplements', 'Liver transplant (in severe cases)', 'Vitamin E', 'Dietary copper restrictions']"
Myasthenia Gravis,"['Anticholinesterase medications', 'Corticosteroids', 'Immunosuppressants', 'Plasmapheresis', 'IV immunoglobulin (IVIG)']"
Thyroid Eye Disease,"['Corticosteroids', 'Immunosuppressants', 'Radiation therapy', 'Surgery (if needed)', 'Artificial tears']"
Restless Legs Syndrome,"['Dopaminergic agents', 'Iron supplements', 'Anticonvulsants', 'Opioids (in severe cases)', 'Benzodiazepines']"
Cluster Headache,"['Triptans', 'Oxygen therapy', 'Corticosteroids', 'Calcium channel blockers', 'Lithium']"
Peripheral Neuropathy,"['Pain relievers', 'Anticonvulsants', 'Antidepressants', 'Physical therapy', 'Capsaicin cream']"
Kawasaki Disease,"['IV immunoglobulin (IVIG)', 'Aspirin', 'Corticosteroids', 'Anticoagulants (if needed)', 'Plasma exchange']"
Whipple's Disease,"['Antibiotics (long-term)', 'Nutritional supplements', 'Probiotics', 'Corticosteroids', 'IV fluids (if needed)']"
Sickle Cell Anemia,"['Pain management', 'Hydroxyurea', 'Blood transfusions', 'Folic acid supplements', 'Bone marrow transplant']"
Acromegaly,"['Somatostatin analogs', 'Growth hormone receptor antagonists', 'Dopamine agonists', 'Surgery', 'Radiation therapy']"
Hemochromatosis,"['Phlebotomy', 'Iron chelators', 'Low-iron diet', 'Vitamin C restrictions', 'Liver transplant (if needed)']"
Marfan Syndrome,"['Beta-blockers', 'Angiotensin receptor blockers (ARBs)', 'Surgery (for aortic aneurysm)', 'Physical therapy', 'Pain relievers']"
